UBERON_0001726;papilla of tongue
UBERON_0001040;yolk sac
UBERON_0008852;visceral yolk sac
UBERON_0008853;parietal yolk sac
UBERON_0003257;yolk sac endoderm
UBERON_0003316;mesenchyme of yolk sac
UBERON_0005251;yolk sac cavity
UBERON_0003124;chorion
UBERON_0003265;chorionic mesenchyme
UBERON_0003374;chorionic ectoderm
UBERON_0004340;allantois
UBERON_0004345;trophectoderm
UBERON_0010333;extraembryonic membrane mesenchyme
UBERON_0004369;Reichert's membrane
UBERON_0004666;interventricular septum membranous part
UBERON_0009859;endosteum
UBERON_0006217;cloacal membrane
UBERON_0006610;tunica albuginea
UBERON_0006614;aponeurosis
UBERON_0006661;epicranial aponeurosis
UBERON_0014780;palatine aponeurosis
UBERON_0011289;pharyngobasilar fascia
UBERON_4200041;aponeurosis palmaris
UBERON_0006650;tunica vaginalis testis
UBERON_0012103;suspensory ligament of breast
UBERON_0011234;fibrous membrane of synovial tendon sheath
UBERON_0000304;tendon sheath
UBERON_0000437;arachnoid barrier layer
UBERON_0005742;adventitia
UBERON_0001252;adventitia of ureter
UBERON_0006645;adventitia of epididymis
UBERON_0006647;adventitia of ductus deferens
UBERON_0006648;adventitia of seminal vesicle
UBERON_0012504;adventitia of esophagus
UBERON_0005452;hepatic cord
UBERON_0005283;tela choroidea
UBERON_0005286;tela choroidea of midbrain cerebral aqueduct
UBERON_0005287;tela choroidea of fourth ventricle
UBERON_0005288;tela choroidea of third ventricle
UBERON_0005289;tela choroidea of telencephalic ventricle
UBERON_0001886;choroid plexus
UBERON_0002307;choroid plexus of lateral ventricle
UBERON_0004274;lateral ventricle choroid plexus epithelium
UBERON_0006338;lateral ventricle choroid plexus stroma
UBERON_0002288;choroid plexus of third ventricle
UBERON_0004275;third ventricle choroid plexus epithelium
UBERON_0006339;third ventricle choroid plexus stroma
UBERON_0002290;choroid plexus of fourth ventricle
UBERON_0004276;fourth ventricle choroid plexus epithelium
UBERON_0006340;fourth ventricle choroid plexus stroma
UBERON_0007299;choroid plexus of tectal ventricle
UBERON_0003911;choroid plexus epithelium
UBERON_0005206;choroid plexus stroma
UBERON_0005358;ventricle of nervous system
UBERON_0004086;brain ventricle
UBERON_0002286;third ventricle
UBERON_0022283;pineal recess of third ventricle
UBERON_0002287;optic recess of third ventricle
UBERON_0004642;third ventricle ependyma
UBERON_0006250;infundibular recess of 3rd ventricle
UBERON_0002422;fourth ventricle
UBERON_0034672;lateral eminence of fourth ventricle
UBERON_0004644;fourth ventricle ependyma
UBERON_0004668;fourth ventricle aperture
UBERON_0003991;fourth ventricle median aperture
UBERON_0003992;fourth ventricle lateral aperture
UBERON_0007656;lateral recess of fourth ventricle
UBERON_0009573;sulcus limitans of fourth ventricle
UBERON_0002285;telencephalic ventricle
UBERON_0002651;anterior horn of lateral ventricle
UBERON_0004672;posterior horn lateral ventricle
UBERON_0002655;body of lateral ventricle
UBERON_0004643;lateral ventricle ependyma
UBERON_0006091;inferior horn of the lateral ventricle
CL_1001582;lateral ventricle neuron
UBERON_0002289;midbrain cerebral aqueduct
UBERON_0005357;brain ependyma
UBERON_0002192;ventricular system choroidal fissure
UBERON_0004670;ependyma
UBERON_0005983;heart layer
UBERON_0002165;endocardium
UBERON_0001081;endocardium of ventricle
UBERON_0002166;endocardium of atrium
UBERON_0003930;atrioventricular canal endocardium
UBERON_0005243;interventricular septum endocardium
UBERON_0002062;endocardial cushion
UBERON_0005316;endocardial endothelium
UBERON_0002349;myocardium
UBERON_0001083;myocardium of ventricle
UBERON_0018649;cardiac muscle tissue of ventricle
UBERON_0004146;His-Purkinje system
UBERON_0002353;atrioventricular bundle
UBERON_0002354;cardiac Purkinje fiber
UBERON_0003452;trabecula carnea cardiac muscle tissue
UBERON_0004494;cardiac muscle tissue of papillary muscle
UBERON_0004126;trabecular layer of ventricle
UBERON_0002302;myocardium of atrium
UBERON_0004490;cardiac muscle tissue of atrium
UBERON_0005980;pectinate muscle
UBERON_0005988;atrium myocardial trabecula
UBERON_0004265;outflow tract myocardium
UBERON_0005248;bulbus cordis myocardium
UBERON_0004123;myocardial layer
UBERON_0004493;cardiac muscle tissue of myocardium
UBERON_0002350;conducting system of heart
UBERON_0002063;sinus venosus
UBERON_0002351;sinoatrial node
UBERON_0002352;atrioventricular node
UBERON_0005982;Bachmann's bundle
UBERON_0009966;internodal tract
UBERON_0015125;anterior internodal tract
UBERON_0015127;posterior internodal tract
UBERON_0015126;middle internodal tract
UBERON_0005994;chorda tendineae
UBERON_0007182;muscle layer of infundibulum of uterine tube
UBERON_0002523;tunica intima
UBERON_0005388;photoreceptor array
UBERON_0000966;retina
UBERON_0000053;macula lutea
UBERON_0001786;fovea centralis
UBERON_0002822;macula lutea proper
CL_0000748;retinal bipolar neuron
UBERON_0001781;layer of retina
UBERON_0003902;retinal neural layer
UBERON_0001787;photoreceptor layer of retina
UBERON_0001789;outer nuclear layer of retina
UBERON_0001790;outer plexiform layer of retina
UBERON_0001791;inner nuclear layer of retina
UBERON_0001792;ganglionic layer of retina
UBERON_0001793;nerve fiber layer of retina
UBERON_0001795;inner plexiform layer of retina
UBERON_0008927;sublaminar layers S1 or S2
UBERON_0008923;sublaminar layer S2
UBERON_0008922;sublaminar layer S1
UBERON_0008928;sublaminar layers S2 or S3
UBERON_0008929;sublaminar layers S4 or S5
UBERON_0008925;sublaminar layer S4
UBERON_0008926;sublaminar layer S5
UBERON_0007619;limiting membrane of retina
UBERON_0001788;outer limiting layer of retina
UBERON_0001794;inner limiting layer of retina
UBERON_0001782;pigmented layer of retina
UBERON_0001783;optic disc
UBERON_0004864;vasculature of retina
UBERON_0008921;substratum of layer of retina
UBERON_0009731;sublaminar layers S3 or S4
UBERON_0009732;sublaminar layers S1 or S2 or S5
UBERON_0009733;sublaminar layers S1 or S2 or S3
UBERON_0009734;sublaminar layers S2 or S3 or S4
UBERON_0009735;sublaminar layers S1 or S3 or S4
UBERON_0009736;sublaminar layers S3 or S4 or S5
UBERON_0009737;sublaminar layers S1 or S2 or S3 or S4
UBERON_0013682;peripheral region of retina
UBERON_0013754;integumentary system layer
UBERON_0002067;dermis
UBERON_0035501;unencapsulated tactile receptor
UBERON_0001992;papillary layer of dermis
UBERON_0003585;dermis connective tissue
UBERON_0003719;Pacinian corpuscle
UBERON_0002072;hypodermis
UBERON_0002190;subcutaneous adipose tissue
UBERON_0013488;panniculus adiposus
UBERON_0007809;fascia of Camper
UBERON_0013489;superficial cervical fascia
UBERON_0014455;subcutaneous abdominal adipose tissue
UBERON_0002243;cutaneous vein
UBERON_0008876;hypodermis skeletal muscle layer
UBERON_0015453;subcutaneous lymph node
UBERON_0015783;smooth muscle layer in fatty layer of subcutaneous tissue
UBERON_0002025;stratum basale of epidermis
UBERON_0002026;stratum spinosum of epidermis
UBERON_0002069;stratum granulosum of epidermis
UBERON_0002027;stratum corneum of epidermis
UBERON_0002071;stratum lucidum of epidermis
UBERON_0008198;nail plate
UBERON_0010402;epidermis suprabasal layer
UBERON_0011190;lunule of nail
UBERON_0010507;layer of dura mater
UBERON_0010506;meningeal dura mater
UBERON_0010505;periosteal dura mater
UBERON_0012375;subserosa
UBERON_0018260;layer of muscle tissue
UBERON_0034933;layer of smooth muscle tissue
UBERON_0001296;myometrium
UBERON_0004224;muscular coat of vas deferens
UBERON_0008856;stomach muscularis externa
UBERON_0008857;stomach smooth muscle circular layer
UBERON_0008862;stomach smooth muscle inner oblique layer
UBERON_0008863;stomach smooth muscle outer longitudinal layer
UBERON_0012368;circular muscle layer of muscular coat
UBERON_0001244;internal anal sphincter
UBERON_0009960;esophagus smooth muscle circular layer
UBERON_0012398;large intestine smooth muscle circular layer
UBERON_0012401;small intestine smooth muscle circular layer
UBERON_0012369;longitudinal muscle layer of muscular coat
UBERON_0008582;superior longitudinal muscle of tongue
UBERON_0009961;esophagus smooth muscle longitudinal layer
UBERON_0012399;large intestine smooth muscle longitudinal layer
UBERON_0012402;small intestine smooth muscle longitudinal layer
UBERON_0012419;taenia coli
UBERON_0006660;muscular coat
UBERON_0035841;esophagogastric junction muscularis propria
UBERON_0012378;muscle layer of urinary bladder
UBERON_0004665;muscular coat of seminal vesicle
UBERON_0006642;muscle layer of oviduct
UBERON_0006646;muscle layer of epididymis
UBERON_0006652;muscular layer of vagina
UBERON_0006855;muscular coat of ureter
UBERON_0016515;muscular layer of prostatic urethra
UBERON_0016524;muscle layer of spongiose part of urethra
UBERON_0018261;muscular coat of digestive tract
UBERON_0012367;muscle layer of intestine
UBERON_0011198;muscle layer of large intestine
UBERON_0012489;muscle layer of colon
UBERON_0012490;muscle layer of anal canal
UBERON_0018111;muscle layer of rectum
UBERON_0011201;muscle layer of small intestine
UBERON_0012377;muscle layer of jejunum
UBERON_0012488;muscle layer of duodenum
UBERON_0014390;muscle layer of ileum
UBERON_0002439;myenteric nerve plexus
UBERON_0011878;muscle layer of esophagus
UBERON_0012486;muscle layer of cloaca
UBERON_0013129;bulb of vestibule
UBERON_0000353;parenchyma
UBERON_0036245;parenchyma of mammary gland
UBERON_1000024;parenchyma of spleen
UBERON_1000023;spleen pulp
UBERON_0001959;white pulp of spleen
UBERON_0001249;spleen lymphoid follicle
UBERON_0004041;spleen primary B follicle
UBERON_0004042;spleen secondary B follicle
UBERON_0001960;periarterial lymphatic sheath
UBERON_0010401;spleen central arteriole
UBERON_0001250;red pulp of spleen
UBERON_0001266;splenic cord
UBERON_0003910;splenic sinusoid
UBERON_0009967;spleen venous sinus
UBERON_0001265;trabecula of spleen
UBERON_0010399;spleen trabecular artery
UBERON_0010400;spleen trabecular vein
UBERON_0001747;parenchyma of thyroid gland
UBERON_0001280;liver parenchyma
UBERON_0001171;portal lobule
UBERON_0001172;hepatic acinus
UBERON_0001279;portal triad
UBERON_0001282;intralobular bile duct
UBERON_0004647;liver lobule
UBERON_0001281;hepatic sinusoid
UBERON_0006841;central vein of liver
UBERON_0008987;renal parenchyma
UBERON_0001225;cortex of kidney
UBERON_0002189;outer cortex of kidney
UBERON_0001284;renal column
UBERON_0009650;cortical arch of kidney
UBERON_0010533;metanephros cortex
UBERON_0004738;metanephric juxtaglomerular apparatus
UBERON_0005115;metanephric cortical collecting duct
UBERON_0005117;metanephric distal convoluted tubule
UBERON_0005124;metanephric proximal convoluted tubule
UBERON_0005151;metanephric proximal tubule
UBERON_0001229;renal corpuscle
UBERON_0000074;renal glomerulus
UBERON_0004736;metanephric glomerulus
UBERON_0005133;metanephric glomerulus vasculature
UBERON_0005119;metanephric glomerular mesangium
UBERON_0005136;metanephric glomerular endothelium
UBERON_0005135;metanephric glomerular epithelium
UBERON_0005144;metanephric glomerular capillary
UBERON_0004739;pronephric glomerulus
UBERON_0007306;pronephric glomerular capillary
UBERON_0007307;pronephric glomerular basement membrane
UBERON_0005325;mesonephric glomerulus
UBERON_0005326;mesonephric glomerulus vasculature
UBERON_0005327;mesonephric glomerular epithelium
UBERON_0006183;mesonephric glomerular capillary
UBERON_0002319;mesangium
UBERON_0002320;glomerular mesangium
UBERON_0002321;extraglomerular mesangium
UBERON_0004188;glomerular epithelium
UBERON_0004189;glomerular endothelium
UBERON_0005750;glomerular parietal epithelium
UBERON_0005777;glomerular basement membrane
UBERON_0005787;lamina densa of glomerular basement membrane
UBERON_0005788;lamina rara interna
UBERON_0005789;lamina rara externa
UBERON_0004190;renal glomerulus vasculature
UBERON_0001230;glomerular capsule
UBERON_0005749;glomerular tuft
UBERON_0005751;visceral layer of glomerular capsule
UBERON_0004639;renal afferent arteriole
UBERON_0004640;renal efferent arteriole
UBERON_0001552;kidney arcuate artery
UBERON_0002303;juxtaglomerular apparatus
UBERON_0005320;mesonephric juxtaglomerular apparatus
UBERON_0002335;macula densa
UBERON_0003546;distal convoluted tubule macula densa
UBERON_0005202;distal straight tubule macula densa
UBERON_0004203;cortical collecting duct
UBERON_0005168;renal interlobular vein
UBERON_0005268;renal cortex artery
UBERON_0005269;renal cortex vein
UBERON_0005270;renal cortex interstitium
UBERON_0005271;juxtamedullary cortex
UBERON_0006851;renal cortex peritubular capillary
UBERON_0006853;renal cortex tubule
UBERON_0004134;proximal tubule
UBERON_0006173;pronephric proximal tubule
UBERON_0006192;mesonephric proximal tubule
UBERON_0001287;proximal convoluted tubule
UBERON_0007298;pronephric proximal convoluted tubule
UBERON_0012428;proximal convoluted tubule brush border
UBERON_0001290;proximal straight tubule
UBERON_0008404;proximal tubular epithelium
UBERON_0001292;distal convoluted tubule
UBERON_0009871;nephrogenic zone
UBERON_0009883;medullary ray
UBERON_0001749;parenchyma of parathyroid gland
UBERON_0008946;lung parenchyma
UBERON_0008870;pulmonary alveolar parenchyma
UBERON_0010369;secondary pulmonary lobule
UBERON_0005158;parenchyma of central nervous system
UBERON_0001978;parenchyma of pancreas
UBERON_0005220;pancreas head parenchyma
UBERON_0005223;pancreas body parenchyma
UBERON_0005224;pancreas tail parenchyma
UBERON_0001293;outer medulla of kidney
UBERON_0034996;outer renal medulla loop of Henle
UBERON_0006542;outer medulla outer stripe loop of Henle
UBERON_0006541;outer medulla inner stripe loop of Henle
UBERON_0004201;kidney outer medulla inner stripe
UBERON_0004202;kidney outer medulla outer stripe
UBERON_0004204;outer medullary collecting duct
UBERON_0004775;outer renal medulla vasa recta
UBERON_0005213;outer renal medulla interstitium
UBERON_0006341;outer renal medulla peritubular capillary
UBERON_0000063;organ subunit
UBERON_0001801;anterior segment of eyeball
UBERON_0022287;tear film
UBERON_0000965;lens of camera-type eye
UBERON_0000389;lens cortex
UBERON_0001803;epithelium of lens
UBERON_0001804;capsule of lens
UBERON_0001766;anterior chamber of eyeball
UBERON_0001796;aqueous humor of eyeball
UBERON_0005638;anterior chamber epithelium
UBERON_0011221;ora serrata of retina
UBERON_0001767;posterior chamber of eyeball
UBERON_0010409;ocular surface region
UBERON_0001750;lacrimal apparatus
UBERON_0022284;lacrimal gland bud
UBERON_0001817;lacrimal gland
UBERON_0013226;accessory lacrimal gland
UBERON_0004817;lacrimal gland epithelium
UBERON_0011857;acinus of lacrimal gland
UBERON_0001850;lacrimal drainage system
UBERON_0001770;lacrimal canaliculus
UBERON_0002392;nasolacrimal duct
UBERON_0010284;lacrimal punctum
UBERON_0001811;conjunctiva
UBERON_0006763;epithelium of conjunctiva
UBERON_0010209;plica semilunaris of conjunctiva
UBERON_0010305;subdivision of conjunctiva
UBERON_0010306;bulbar conjunctiva
UBERON_0010307;conjunctival fornix
UBERON_0014698;lacrimal caruncle
UBERON_0010366;conjunctival vasculature
UBERON_0000058;duct
UBERON_0001765;mammary duct
UBERON_0022360;male mammary gland duct
UBERON_0011844;duct of areolar gland
UBERON_0015132;extralobar lactiferous duct
UBERON_0015133;terminal lactiferous duct
UBERON_0015134;main lactiferous duct
UBERON_0015135;primary lactiferous duct
UBERON_0015136;secondary lactiferous duct
UBERON_0015137;tertiary lactiferous duct
UBERON_0015138;quarternary lactiferous duct
UBERON_0004182;mammary gland cord
UBERON_0014719;intralobular duct
UBERON_0035045;parotid gland intralobular duct
UBERON_0035046;parotid gland intercalated duct
UBERON_0035047;parotid gland striated duct
UBERON_0014725;intercalated duct
UBERON_0014726;intercalated duct of pancreas
UBERON_0014727;intercalated duct of salivary gland
UBERON_0014729;striated duct of salivary gland
UBERON_0035050;excretory duct
UBERON_0035049;excretory duct of salivary gland
UBERON_0035048;parotid gland excretory duct
UBERON_0035078;parotid gland interlobular duct
UBERON_0001065;parotid main excretory duct
UBERON_0035053;interlobular duct of salivary gland
UBERON_0014716;interlobular duct
UBERON_0014720;interlobar duct
UBERON_0035073;duct of eccrine sweat gland
UBERON_0035074;duct of apocrine sweat gland
UBERON_0003928;digestive system duct
UBERON_0007329;pancreatic duct
UBERON_0001064;ventral pancreatic duct
UBERON_0005429;dorsal pancreatic duct
UBERON_0009970;epithelium of pancreatic duct
UBERON_0002394;bile duct
UBERON_0005604;extrahepatic part of hepatic duct
UBERON_0003703;extrahepatic bile duct
UBERON_0001174;common bile duct
UBERON_0001152;cystic duct
UBERON_0010081;future common hepatic duct
UBERON_0004822;extrahepatic bile duct epithelium
UBERON_0005171;hepatic duct
UBERON_0003704;intrahepatic bile duct
UBERON_0004058;biliary ductule
UBERON_0004820;bile duct epithelium
UBERON_0001837;duct of salivary gland
UBERON_0001838;sublingual duct
UBERON_0003985;major sublingual duct
UBERON_0003986;minor sublingual duct
UBERON_0002334;submandibular duct
UBERON_0015766;epithelium of duct of salivary gland
UBERON_0005904;duct of male reproductive system
UBERON_0001301;epididymis
UBERON_0035956;epididymal lumen
UBERON_0004358;caput epididymis
UBERON_0004359;corpus epididymis
UBERON_0004360;cauda epididymis
UBERON_0004544;epididymis epithelium
UBERON_0004835;epididymis smooth muscle
UBERON_0006641;appendix epididymis
UBERON_0008824;duct of epididymis
UBERON_0010412;epididymal fat pad
UBERON_0001000;vas deferens
UBERON_0004806;vas deferens epithelium
UBERON_0005195;deferent duct vein
UBERON_0001343;seminiferous tubule of testis
UBERON_0000999;ejaculatory duct
UBERON_0006953;ejaculatory duct epithelium
UBERON_0015717;smooth muscle tissue layer of ejaculatory duct
UBERON_0006947;male genital duct
UBERON_0006868;seminal fluid secreting gland
UBERON_0002366;bulbo-urethral gland
UBERON_0034770;bulbourethral gland epithelium
UBERON_0010151;duct of bulbourethral gland
UBERON_0000998;seminal vesicle
UBERON_0004805;seminal vesicle epithelium
UBERON_0005903;duct of seminal vesicle
UBERON_0006946;efferent duct
UBERON_0002485;prostate duct
UBERON_0006553;renal duct
UBERON_0009201;nephric duct
UBERON_0003074;mesonephric duct
UBERON_0000084;ureteric bud
UBERON_0005081;ureter ureteric bud
UBERON_0005080;metanephric ureteric bud
UBERON_0011574;mesonephric duct lumen
UBERON_0003060;pronephric duct
UBERON_0010146;paraurethral duct
UBERON_0011831;duct of vestibular gland
UBERON_0011845;duct of sebaceous gland
UBERON_0034969;epithelial layer of duct
UBERON_0035105;sac of scrotum
UBERON_0035831;costal diaphragm
UBERON_0011932;pilosebaceous unit
UBERON_0001037;strand of hair
UBERON_0001702;eyelash
UBERON_0010509;strand of pelage hair
UBERON_0013698;strand of pubic hair
UBERON_0013699;strand of axillary hair
UBERON_0015144;autopod hair
UBERON_0015145;pes hair
UBERON_0015146;manus hair
UBERON_0015148;tail hair
UBERON_0015149;ventral hair
UBERON_0015150;dorsal hair
UBERON_0016446;hair of head
UBERON_0022279;strand of hair on external ear
UBERON_0010171;strand of hair of face
UBERON_0016447;hair of trunk
UBERON_0000329;hair root
UBERON_0002074;hair shaft
UBERON_0002076;cuticle of hair
UBERON_0002077;cortex of hair
UBERON_0005184;hair medulla
UBERON_0011901;hair matrix
UBERON_0001821;sebaceous gland
UBERON_0015251;modified sebaceous gland
UBERON_0000359;preputial gland
UBERON_0005301;male preputial gland
UBERON_0005302;female preputial gland
UBERON_0003487;skin sebaceous gland
UBERON_0003485;vagina sebaceous gland
UBERON_0011827;areolar gland
UBERON_0011846;acinus of sebaceous gland
UBERON_0002033;arrector muscle of hair
UBERON_0014765;crus of diaphragm
UBERON_0009912;anatomical lobe
UBERON_0019326;lobe of lacrimal gland
UBERON_0019327;orbital lobe of lacrimal gland
UBERON_0019328;palpebral lobe of lacrimal gland
UBERON_0001328;lobe of prostate
UBERON_0035341;posterior lobe of prostate
UBERON_0001329;prostate gland anterior lobe
UBERON_0035766;median lobe of prostate
UBERON_0013637;prostate gland lateral lobe
UBERON_0000101;lobe of lung
UBERON_0008948;upper lobe of lung
UBERON_0008949;lower lobe of lung
UBERON_0008955;middle lobe of lung
UBERON_0002183;lobar bronchus
UBERON_0002339;epithelium of lobar bronchus
UBERON_0003591;lobar bronchus connective tissue
UBERON_0004884;lobar bronchus mesenchyme
UBERON_0004889;lobar bronchus vasculature
UBERON_0012084;lumen of secondary bronchus
UBERON_0002184;segmental bronchus
UBERON_0002341;epithelium of segmental bronchus
UBERON_0012085;lumen of tertiary bronchus
UBERON_0001113;lobe of liver
UBERON_0001118;lobe of thyroid gland
UBERON_0005483;thymus lobe
UBERON_0009913;renal lobe
UBERON_0001802;posterior segment of eyeball
UBERON_0001799;vitreous chamber of eyeball
UBERON_0001798;vitreous body
UBERON_0006010;hyaloid canal
UBERON_0009911;lobule
UBERON_0001912;lobule of mammary gland
UBERON_0003214;mammary gland alveolus
UBERON_0011856;acinus of lactiferous gland
UBERON_0002125;thymus lobule
UBERON_0010368;pulmonary lobule
UBERON_0008874;pulmonary acinus
UBERON_0002169;alveolar sac
UBERON_0002299;alveolus of lung
UBERON_0035963;epithelial lining fluid
UBERON_0002172;alveolar atrium
UBERON_0004894;alveolar wall
UBERON_0004895;alveolar smooth muscle
UBERON_0002188;respiratory bronchiole
UBERON_0002186;bronchiole
UBERON_0002187;terminal bronchiole
UBERON_0012067;primary bronchiole
UBERON_0004515;smooth muscle tissue of bronchiole
UBERON_0001341;lesser sac
UBERON_0001180;superior recess of lesser sac
UBERON_0001181;inferior recess of lesser sac
UBERON_0003274;mesothelium of omental bursa
UBERON_0005252;lesser sac cavity
UBERON_0035651;glans
UBERON_0001299;glans penis
UBERON_0012241;male urethral meatus
UBERON_0013128;bulb of penis
UBERON_0016408;corona of glans penis
UBERON_0016409;base of glans penis
UBERON_0006653;glans clitoris
UBERON_0006311;chamber of eyeball
UBERON_0003675;tooth crown
UBERON_0003955;molar crown
UBERON_0006844;cusp of tooth
UBERON_0017295;cingulum of tooth
UBERON_0013613;upper jaw cingulum
UBERON_0017298;cingulum of upper incisor tooth
UBERON_0017312;cingulum of upper canine tooth
UBERON_0017613;cingulum of upper jaw molar
UBERON_0017296;cingulum of incisor tooth
UBERON_0017297;cingulum of canine tooth
UBERON_0013612;lower jaw cingulum
UBERON_0017614;cingulum of molar tooth
UBERON_0003677;tooth root
UBERON_0004662;vertebra lamina
UBERON_0004732;segmental subdivision of nervous system
UBERON_0004731;neuromere
UBERON_0001892;rhombomere
UBERON_0005499;rhombomere 1
UBERON_0005567;rhombomere 1 lateral wall
UBERON_0005568;rhombomere 1 roof plate
UBERON_0005507;rhombomere 3
UBERON_0005574;rhombomere 3 lateral wall
UBERON_0005575;rhombomere 3 roof plate
UBERON_0005511;rhombomere 4
UBERON_0005577;rhombomere 4 lateral wall
UBERON_0005578;rhombomere 4 roof plate
UBERON_0005515;rhombomere 5
UBERON_0005580;rhombomere 5 lateral wall
UBERON_0005581;rhombomere 5 roof plate
UBERON_0005519;rhombomere 6
UBERON_0005583;rhombomere 6 lateral wall
UBERON_0005584;rhombomere 6 roof plate
UBERON_0005523;rhombomere 7
UBERON_0005586;rhombomere 7 lateral wall
UBERON_0005587;rhombomere 7 roof plate
UBERON_0005569;rhombomere 2
UBERON_0005571;rhombomere 2 lateral wall
UBERON_0005572;rhombomere 2 roof plate
UBERON_0005501;rhombomere lateral wall
UBERON_0005502;rhombomere roof plate
UBERON_0014775;prosomere
UBERON_0014776;midbrain neuromere
UBERON_0014777;spinal neuromere
UBERON_0004733;segmental subdivision of hindbrain
UBERON_0005290;myelencephalon
UBERON_0019262;white matter of myelencephalon
UBERON_0022258;endolemniscal nucleus
UBERON_0001895;metencephalon
UBERON_0019291;white matter of metencephalon
UBERON_0024045;white matter of the cerebellar cortex
UBERON_0002568;amiculum of dentate nucleus
UBERON_0002659;superior medullary velum
UBERON_0019292;white matter of pons
UBERON_0000988;pons
UBERON_0000127;facial nucleus
UBERON_0002147;reticulotegmental nucleus
UBERON_0002567;basal part of pons
UBERON_0002151;pontine nuclear group
UBERON_0002732;longitudinal pontine fibers
UBERON_0002735;transverse pontine fibers
UBERON_0002682;abducens nucleus
UBERON_0002793;dorsal longitudinal fasciculus of pons
UBERON_0002794;medial longitudinal fasciculus of pons
UBERON_0004133;salivatory nucleus
UBERON_0007634;parabrachial nucleus
UBERON_0002037;cerebellum
UBERON_0034708;cerebellum marginal layer
UBERON_0002129;cerebellar cortex
UBERON_0002749;regional part of cerebellar cortex
UBERON_0002245;cerebellar hemisphere
UBERON_0027331;flocculonodular lobe, hemisphere portion
UBERON_0001063;flocculus
UBERON_0005351;paraflocculus
UBERON_0004003;cerebellum hemisphere lobule
UBERON_0023998;cerebellum hemispheric lobule II
UBERON_0023999;cerebellum hemispheric lobule III
UBERON_0024000;cerebellum hemispheric lobule IV
UBERON_0024001;cerebellum hemispheric lobule V
UBERON_0036063;quadrangular lobule
UBERON_0003013;alar central lobule
UBERON_0003015;anterior quadrangular lobule
UBERON_0005350;lobule simplex
UBERON_0005348;ansiform lobule
UBERON_0005976;ansiform lobule crus I
UBERON_0005977;ansiform lobule crus II
UBERON_0006121;hemispheric lobule VIII
UBERON_0014647;hemisphere part of cerebellar anterior lobe
UBERON_0014648;hemisphere part of cerebellar posterior lobe
UBERON_0004720;cerebellar vermis
UBERON_0003941;cerebellum anterior vermis
UBERON_0003021;central lobule
UBERON_0004075;cerebellum vermis lobule II
UBERON_0004076;cerebellum vermis lobule III
UBERON_0004074;cerebellum vermis lobule I
UBERON_0007763;cerebellum vermis culmen
UBERON_0035922;intraculminate fissure of cerebellum
UBERON_0004077;cerebellum vermis lobule IV
UBERON_0004079;cerebellum vermis lobule V
UBERON_0004009;cerebellum posterior vermis
UBERON_0004080;cerebellum vermis lobule VI
UBERON_0004081;cerebellum vermis lobule VII
UBERON_0005345;cerebellum vermis lobule VIIA
UBERON_0005346;cerebellum vermis lobule VIIB
UBERON_0004082;cerebellum vermis lobule VIII
UBERON_0005349;paramedian lobule
UBERON_0004070;cerebellum vermis lobule
UBERON_0004078;cerebellum vermis lobule IX
UBERON_0004083;cerebellum vermis lobule X
UBERON_0004004;cerebellum lobule
UBERON_0005293;cerebellum lobe
UBERON_0003012;flocculonodular lobe
UBERON_0002131;anterior lobe of cerebellum
UBERON_0004002;posterior lobe of cerebellum
UBERON_0004130;cerebellar layer
UBERON_0002956;granular layer of cerebellar cortex
UBERON_0002974;molecular layer of cerebellar cortex
UBERON_0002130;cerebellar nuclear complex
UBERON_0008995;nucleus of cerebellar nuclear complex
UBERON_0002132;dentate nucleus
UBERON_0002744;hilum of dentate nucleus
UBERON_0002747;neodentate part of dentate nucleus
UBERON_0006743;paleodentate of dentate nucleus
UBERON_0002153;fastigial nucleus
UBERON_0004073;cerebellum interpositus nucleus
UBERON_0002602;emboliform nucleus
UBERON_0002613;cerebellum globose nucleus
UBERON_0003980;cerebellum fissure
UBERON_0035926;preculminate fissure of cerebellum
UBERON_0002814;posterior superior fissure of cerebellum
UBERON_0002815;horizontal fissure of cerebellum
UBERON_0002816;prepyramidal fissure of cerebellum
UBERON_0002817;secondary fissure of cerebellum
UBERON_0002818;posterolateral fissure of cerebellum
UBERON_0014468;ansoparamedian fissure of cerebellum
UBERON_0014471;primary fissure of cerebellum
UBERON_0014474;postcentral fissure of cerebellum
UBERON_0004008;cerebellar plate
UBERON_0006694;cerebellum vasculature
UBERON_0014540;white matter lamina of cerebellum
UBERON_0014642;vestibulocerebellum
UBERON_0016565;cerebral blood vessel
CL_1001611;cerebellar neuron
UBERON_0003302;roof plate of metencephalon
UBERON_0003310;floor plate of metencephalon
UBERON_0004673;trigeminal nerve root
UBERON_0002796;motor root of trigeminal nerve
UBERON_0009907;sensory root of trigeminal nerve
UBERON_0004674;facial nerve root
UBERON_0006517;kidney calyx
UBERON_0001227;minor calyx
UBERON_0001226;major calyx
UBERON_0035075;thymus subunit
UBERON_0000060;anatomical wall
UBERON_0035965;wall of blood vessel
UBERON_0000415;artery wall
UBERON_0004663;aorta wall
UBERON_0004784;heart ventricle wall
UBERON_0000328;gut wall
UBERON_0035120;fauces
UBERON_0035270;roof of nasopharynx
UBERON_0035313;posterior wall of laryngopharynx
UBERON_0035383;lateral wall of nasopharynx
UBERON_0035401;posterior wall of nasopharynx
UBERON_0001096;wall of esophagus
