UBERON_0000483;epithelium
UBERON_0035228;tonsillar fossa
UBERON_0001211;Peyer's patch
UBERON_0003453;large intestine Peyer's patch
UBERON_0003454;small intestine Peyer's patch
UBERON_0010387;Peyer's patch T cell area
UBERON_0012330;nasal-associated lymphoid tissue
UBERON_0001735;tonsillar ring
UBERON_0013478;cecal tonsil
UBERON_0001963;bronchial-associated lymphoid tissue
CL_0000884;mucosa-associated lymphoid tissue macrophage
UBERON_0003483;thymus lymphoid tissue
UBERON_0013689;appendix lymphoid tissue
UBERON_0012429;hematopoietic tissue
CL_1001610;bone marrow hematopoietic cell
CL_0000556;megakaryocyte
CL_0002027;CD9-positive, CD41-positive megakaryocyte cell
CL_0000557;granulocyte monocyte progenitor cell
CL_0002001;CD34-positive, CD38-positive granulocyte monocyte progenitor
CL_0002002;Kit-positive granulocyte monocyte progenitor
CL_0002476;bone marrow macrophage
CL_0010004;mononuclear cell of bone marrow
UBERON_0000361;red bone marrow
UBERON_0003104;mesenchyme
UBERON_0004883;lung mesenchyme
UBERON_0004884;lobar bronchus mesenchyme
UBERON_0004901;right lung lobar bronchus mesenchyme
UBERON_0004899;right lung cranial lobe lobar bronchus mesenchyme
UBERON_0004900;right lung middle lobe lobar bronchus mesenchyme
UBERON_0009602;left lung associated mesenchyme
UBERON_0009603;right lung associated mesenchyme
UBERON_0003918;kidney mesenchyme
UBERON_0003220;metanephric mesenchyme
UBERON_0010536;nephron progenitor
UBERON_0010537;mesonephric nephron progenitor
UBERON_0006210;body-wall mesenchyme
UBERON_0010083;future dermis
UBERON_0006293;spleen primordium
UBERON_0004161;septum transversum
UBERON_0004160;proepicardium
UBERON_0005256;trunk mesenchyme
UBERON_0002062;endocardial cushion
CL_0008022;endocardial cushion cell
UBERON_0011301;manubrium sternum pre-cartilage condensation
UBERON_0006295;sternebral bone pre-cartilage condensation
UBERON_0006247;iliac pre-cartilage condensation
UBERON_0006255;ischial pre-cartilage condensation
UBERON_0006285;pubic pre-cartilage condensation
UBERON_0007214;mesenchyme derived from trunk neural crest
UBERON_0009618;trunk paraxial mesoderm
UBERON_0003064;intermediate mesoderm
UBERON_0005721;pronephric mesoderm
UBERON_0010963;trunk and cervical myotome group
UBERON_0007524;dense mesenchyme tissue
UBERON_0003262;amniotic mesoderm
UBERON_0003081;lateral plate mesoderm
UBERON_0004871;somatic layer of lateral plate mesoderm
UBERON_0004872;splanchnic layer of lateral plate mesoderm
UBERON_0004873;splanchnopleure
UBERON_0004874;somatopleure
UBERON_0009881;anterior lateral plate mesoderm
UBERON_0003077;paraxial mesoderm
UBERON_0003059;presomitic mesoderm
CL_0011007;paraxial cell
UBERON_0009617;head paraxial mesoderm
UBERON_0005856;developing mesenchymal condensation
UBERON_0005866;pre-cartilage condensation
UBERON_0010213;laryngeal pre-cartilage condensation
UBERON_0010219;thyroid pre-cartilage condensation
UBERON_0010220;arytenoid pre-cartilage condensation
UBERON_0010214;cricoid pre-cartilage condensation
UBERON_0006263;Meckel's cartilage pre-cartilage condensation
UBERON_0007267;trachea pre-cartilage rings
UBERON_0010354;Reichert's cartilage pre-cartilage condensation
UBERON_0010728;sphenoid lesser wing pre-cartilage condensation
UBERON_0009197;basioccipital pre-cartilage condensation
UBERON_0006214;carpus pre-cartilage condensation
UBERON_0006228;exoccipital pre-cartilage condensation
UBERON_0006234;femur pre-cartilage condensation
UBERON_0006246;humerus pre-cartilage condensation
UBERON_0010846;radius pre-cartilage condensation
UBERON_0006287;radius-ulna pre-cartilage condensation
UBERON_0006289;rib pre-cartilage condensation
UBERON_0010847;ulna pre-cartilage condensation
UBERON_0009191;sphenoid bone pre-cartilage condensation
UBERON_0010732;alisphenoid pre-cartilage condensation
UBERON_0009192;basisphenoid pre-cartilage condensation
UBERON_0010540;tarsus pre-cartilage condensation
UBERON_0010687;pedal digit metatarsal pre-cartilage condensation
UBERON_0010547;pedal digit 1 metatarsal pre-cartilage condensation
UBERON_0010548;pedal digit 2 metatarsal pre-cartilage condensation
UBERON_0010549;pedal digit 3 metatarsal pre-cartilage condensation
UBERON_0010550;pedal digit 4 metatarsal pre-cartilage condensation
UBERON_0010551;pedal digit 5 metatarsal pre-cartilage condensation
UBERON_0010801;calcaneum pre-cartilage condensation
UBERON_0010844;clavicle pre-cartilage condensation
UBERON_0010850;tibia pre-cartilage condensation
UBERON_0010852;fibula pre-cartilage condensation
UBERON_0012081;patella pre-cartilage condensation
UBERON_0001763;odontogenic papilla
UBERON_0003317;odontogenic papilla of incisor
UBERON_0005707;upper jaw incisor odontogenic papilla
UBERON_0005708;lower jaw incisor odontogenic papilla
UBERON_0015844;molar dental papilla
UBERON_0005700;upper jaw molar odontogenic papilla
UBERON_0005701;lower jaw molar odontogenic papilla
UBERON_0003089;sclerotome
UBERON_0005863;cartilaginous condensation
UBERON_0006245;humerus cartilage element
UBERON_0010129;femur cartilage element
UBERON_0010843;clavicle cartilage element
UBERON_0010714;iliac cartilage element
UBERON_0006254;ischial cartilage element
UBERON_0010718;pubic cartilage element
UBERON_0006213;carpus cartilage element
UBERON_0010541;tarsus cartilage element
UBERON_0010842;calcaneum cartilage element
UBERON_0009193;sphenoid cartilage element
UBERON_0005687;orbitosphenoid cartilage element
UBERON_0009194;basisphenoid cartilage condenstion
UBERON_0010733;alisphenoid cartilage element
UBERON_0006209;basioccipital cartilage element
UBERON_0010752;exoccipital cartilage element
UBERON_0006288;rib cartilage element
UBERON_0010848;radius-ulna cartilage element
UBERON_0012080;patella cartilage element
UBERON_0005865;pre-muscle condensation
UBERON_0010962;extensor pre-muscle mass
UBERON_0010977;flexor pre-muscle mass
UBERON_0010970;intercostal pre-muscle mass
UBERON_0010981;internal intercostal pre-muscle mass
UBERON_0010974;external intercostal pre-muscle mass
UBERON_0010982;latissimus dorsi pre-muscle mass
UBERON_0010986;serratus ventralis pre-muscle mass
UBERON_0010987;sterno-mastoid pre-muscle mass
UBERON_0010993;subscapularis pre-muscle mass
UBERON_0006219;deltoid pre-muscle mass
UBERON_0010988;teres major pre-muscle mass
UBERON_0010984;pectoral pre-muscle mass
UBERON_0011332;extrinsic tongue pre-muscle mass
UBERON_0010929;stapedius pre-muscle condensation
UBERON_0010935;tensor tympani pre-muscle condensation
UBERON_0006230;extrinsic ocular pre-muscle mass
UBERON_0010955;trapezius pre-muscle mass
UBERON_0010961;erector spinae pre-muscle mass
UBERON_0010975;external oblique pre-muscle mass
UBERON_0010983;levator scapulae pre-muscle mass
UBERON_0010348;hyoid pre-muscle mass
UBERON_0010989;transverospinalis pre-muscle mass
UBERON_0006292;shoulder joint primordium
UBERON_0010215;arytenoid swellings
UBERON_0003265;chorionic mesenchyme
UBERON_0010091;future hindbrain meninx
UBERON_0009505;mesenchyme of trachea
UBERON_0005728;extraembryonic mesoderm
UBERON_0005667;connecting stalk mesoderm
UBERON_0010090;future falx cerebri
UBERON_0010377;mesenchyme from somatopleure
UBERON_0009523;mesenchyme of handplate
UBERON_0003328;mesenchyme of footplate
UBERON_0010329;paired limb/fin bud mesenchyme
UBERON_0010328;limb bud mesenchyme
UBERON_4300226;forelimb bud mesenchyme
UBERON_4300227;hindlimb bud mesenchyme
UBERON_0003412;pelvic appendage bud mesenchyme
UBERON_0003413;pectoral appendage bud mesenchyme
UBERON_0010046;entire pharyngeal arch associated mesenchyme
UBERON_0009494;pharyngeal arch mesenchymal region
UBERON_0005689;2nd arch mesenchyme
UBERON_0010254;2nd arch mesenchyme from neural crest
UBERON_0010343;2nd arch mesenchyme from head mesenchyme
UBERON_0005690;3rd arch mesenchyme
UBERON_0010255;3rd arch mesenchyme from neural crest
UBERON_0010344;3rd arch mesenchyme from head mesenchyme
UBERON_0005691;4th arch mesenchyme
UBERON_0010256;4th arch mesenchyme from neural crest
UBERON_0010345;4th arch mesenchyme from head mesenchyme
UBERON_0010042;1st arch mesenchyme
UBERON_0010045;1st arch maxillary mesenchyme
UBERON_0010253;1st arch maxillary mesenchyme from neural crest
UBERON_0010338;1st arch maxillary mesenchyme from head mesenchyme
UBERON_0009584;1st arch mandibular mesenchyme
UBERON_0010252;1st arch mandibular mesenchyme from neural crest
UBERON_0010339;1st arch mandibular mesenchyme from head mesenchyme
UBERON_0010259;1st arch mesenchyme from neural crest
UBERON_0010341;1st arch mesenchyme from head mesenchyme
UBERON_0010031;6th arch mesenchyme
UBERON_0010257;6th arch mesenchyme from neural crest
UBERON_0010347;6th arch mesenchyme from head mesenchyme
UBERON_0013502;5th arch mesenchyme
UBERON_0010359;pharyngeal arch mesenchyme from neural crest
UBERON_0010360;pharyngeal arch mesenchyme from head mesenchyme
UBERON_0009506;mesenchyme of middle ear
UBERON_0010221;laryngeal associated mesenchyme
UBERON_0010378;mesenchyme from splanchnopleure
UBERON_0011203;urachus mesenchyme
UBERON_0007530;migrating mesenchyme population
UBERON_0009920;optic neural crest
UBERON_0005563;trigeminal neural crest
UBERON_0005565;facio-acoustic neural crest
UBERON_0003320;mesenchyme of hip
UBERON_0006244;hip joint primordium
UBERON_0003322;mesenchyme of shoulder
UBERON_0009526;maxillary process mesenchyme
UBERON_0010334;maxillary process mesenchyme from neural crest
UBERON_0010335;maxillary process mesenchyme from head mesenchyme
UBERON_0003326;mesenchyme of mammary gland
UBERON_0003422;mesenchyme of umbilical cord
CL_0002569;mesenchymal stem cell of umbilical cord
UBERON_0005253;head mesenchyme
UBERON_0034995;jaw mesenchyme
UBERON_0003323;mesenchyme of upper jaw
UBERON_0003417;mesenchyme of soft palate
UBERON_0003424;mesenchyme of hard palate
UBERON_0005704;secondary palatal shelf mesenchyme
UBERON_0005705;primary palate mesenchyme
UBERON_0003324;mesenchyme of lower jaw
UBERON_0003414;mesenchyme of mandible
UBERON_0003418;mesenchyme of submandibular gland
UBERON_0003419;mesenchyme of parotid
UBERON_0009539;mesenchyme of submandibular gland primordium
UBERON_0007213;mesenchyme derived from head neural crest
UBERON_0010258;mesenchyme from rhombencephalic neural crest
UBERON_0010336;mandibular process mesenchyme from neural crest
UBERON_0003856;uncondensed odontogenic mesenchyme
UBERON_0015846;incisor mesenchyme
UBERON_0011641;odontogenic mesenchyme of molar
UBERON_0003314;eye mesenchyme
UBERON_0010330;eyelid mesenchyme
UBERON_0003857;upper eyelid mesenchyme
UBERON_0003858;lower eyelid mesenchyme
UBERON_0003421;mesenchyme of vomeronasal organ
UBERON_0004031;head ectomesenchyme
UBERON_0009477;associated mesenchyme of otic placode
UBERON_0009500;periotic mesenchyme
UBERON_0009501;mesenchyme of fronto-nasal process
UBERON_0009204;medial nasal process mesenchyme
UBERON_0009205;lateral nasal process mesenchyme
UBERON_0006904;head mesenchyme from mesoderm
UBERON_0010337;mandibular process mesenchyme from head mesenchyme
UBERON_0006905;mandibular process mesenchyme
UBERON_0003325;mesenchyme of pinna
UBERON_0003416;mesenchyme of tongue
UBERON_0003420;mesenchyme of sublingual gland
UBERON_0009891;facial mesenchyme
UBERON_0003415;mesenchyme of nasal septum
UBERON_0009749;limb mesenchyme
UBERON_0003859;forelimb mesenchyme
UBERON_0003318;mesenchyme of elbow
UBERON_0006224;elbow joint primordium
UBERON_0003319;mesenchyme of carpal region
UBERON_0003327;mesenchyme of forearm
UBERON_0006286;radius cartilage element
UBERON_0006306;ulna cartilage element
UBERON_0005257;manual digit mesenchyme
UBERON_0005692;manual digit 2 mesenchyme
UBERON_0005693;manual digit 3 mesenchyme
UBERON_0005694;manual digit 4 mesenchyme
UBERON_0005695;manual digit 5 mesenchyme
UBERON_0010564;manual digit 1 mesenchyme
UBERON_0005258;upper arm mesenchyme
UBERON_0003860;hindlimb mesenchyme
UBERON_0003321;mesenchyme of knee
UBERON_0006256;knee joint primordium
UBERON_0005255;pedal digit mesenchyme
UBERON_0005696;pedal digit 2 mesenchyme
UBERON_0005697;pedal digit 3 mesenchyme
UBERON_0005698;pedal digit 4 mesenchyme
UBERON_0005699;pedal digit 5 mesenchyme
UBERON_0010562;pedal digit 1 mesenchyme
UBERON_0010695;mesenchyme of tarsal region
UBERON_0005254;upper leg mesenchyme
UBERON_0005259;lower leg mesenchyme
UBERON_0010849;tibia cartilage element
UBERON_0010851;fibula cartilage element
UBERON_0010702;digit mesenchyme
UBERON_0010700;phalanx pre-cartilage condensation
UBERON_0010585;pedal digit phalanx pre-cartilage condensation
UBERON_0010580;pedal digit 1 phalanx pre-cartilage condensation
UBERON_0010581;pedal digit 2 phalanx pre-cartilage condensation
UBERON_0010582;pedal digit 3 phalanx pre-cartilage condensation
UBERON_0010583;pedal digit 4 phalanx pre-cartilage condensation
UBERON_0010584;pedal digit 5 phalanx pre-cartilage condensation
UBERON_0010586;manual digit phalanx pre-cartilage condensation
UBERON_0010575;manual digit 1 phalanx pre-cartilage condensation
UBERON_0010576;manual digit 2 phalanx pre-cartilage condensation
UBERON_0010577;manual digit 3 phalanx pre-cartilage condensation
UBERON_0010578;manual digit 4 phalanx pre-cartilage condensation
UBERON_0010579;manual digit 5 phalanx pre-cartilage condensation
UBERON_0009504;mesenchyme of main bronchus
UBERON_0003855;gonad mesenchyme
UBERON_0003312;mesenchyme of testis
UBERON_0003315;mesenchyme of ovary
UBERON_0007529;loose mesenchyme tissue
UBERON_0004208;nephrogenic mesenchyme
UBERON_0005113;metanephric cortex mesenchyme
UBERON_0005323;mesonephric mesenchyme
UBERON_0005702;optic eminence mesenchyme
UBERON_0009845;urogenital sinus mesenchyme
UBERON_0009482;associated mesenchyme of foregut-midgut junction
UBERON_0009503;mesenchyme of hindgut
UBERON_0009538;mesenchyme of sublingual gland primordium
UBERON_0009751;cardiac mesenchyme
UBERON_0009752;pancreas mesenchyme
UBERON_0010299;scleral mesenchyme
UBERON_0010333;extraembryonic membrane mesenchyme
UBERON_0014387;mesenchyme derived from neural crest
UBERON_0015418;urethra mesenchymal layer
CL_0008019;mesenchymal cell
CL_0000569;cardiac mesenchymal cell
UBERON_0001758;periodontium
UBERON_0008266;periodontal ligament
UBERON_0035967;alveolar mucosa
UBERON_0002384;connective tissue
UBERON_0011823;dense connective tissue
UBERON_0007846;dense regular connective tissue
UBERON_0000043;tendon
UBERON_0034988;tendon of obturator internus
UBERON_0006670;central tendon of diaphragm
UBERON_0003701;calcaneal tendon
UBERON_0011971;calcaneofibular ligament
UBERON_0006239;future central tendon
UBERON_0008188;tendon of biceps brachii
UBERON_0008192;tendon of triceps brachii
UBERON_0012118;infraspinatus tendon
UBERON_0012120;vinculum of tendon
UBERON_0014848;tendon of quadriceps femoris
UBERON_0016496;tendon of palmaris longus
CL_0000388;tendon cell
UBERON_0000304;tendon sheath
UBERON_0011233;synovial membrane of synovial tendon sheath
UBERON_0011234;fibrous membrane of synovial tendon sheath
UBERON_0007168;long head of biceps brachii
UBERON_0007169;short head of biceps brachii
UBERON_0008977;pes anserinus of tibia
UBERON_0011864;tendon collagen fibril
UBERON_0008982;fascia
UBERON_0035108;temporalis fascia
UBERON_0013718;dartos muscle
UBERON_0013719;dartos muscle of scrotum
UBERON_0013720;dartos muscle of labia majora
UBERON_0011236;deep fascia
UBERON_0003669;fascia lata
UBERON_0011237;visceral fascia
UBERON_0013491;cervical fascia
UBERON_0013489;superficial cervical fascia
UBERON_0013490;deep cervical fascia
UBERON_0013492;prevertebral cervical fascia
UBERON_0013493;abdominal fascia
UBERON_0007809;fascia of Camper
UBERON_0016851;renal fascia
UBERON_0034688;spermatic fascia
UBERON_0034690;external spermatic fascia
UBERON_0034691;internal spermatic fascia
UBERON_0035096;fascia of tail
CL_1000307;fibroblast of dense regular elastic tissue
UBERON_0011822;dense irregular connective tissue
UBERON_0001013;adipose tissue
UBERON_0019143;intramuscular adipose tissue
UBERON_0035818;visceral fat
UBERON_0035814;pericardial fat
UBERON_0035815;paracardial fat
UBERON_0001347;white adipose tissue
CL_0000448;white fat cell
UBERON_0001348;brown adipose tissue
CL_0000449;brown fat cell
UBERON_0002190;subcutaneous adipose tissue
UBERON_0013488;panniculus adiposus
UBERON_0014455;subcutaneous abdominal adipose tissue
CL_0002521;subcutaneous fat cell
UBERON_0003426;dermis adipose tissue
UBERON_0003916;fat pad
UBERON_0016400;infrapatellar fat pad
UBERON_0003427;abdominal fat pad
UBERON_0010411;retroperitoneal fat pad
UBERON_0010414;omental fat pad
UBERON_0013705;fascia of Scarpa
UBERON_0014464;renal fat pad
UBERON_0015142;falciform fat
UBERON_0003428;gonadal fat pad
UBERON_0006671;orbital fat pad
UBERON_0010410;inguinal fat pad
UBERON_0010412;epididymal fat pad
UBERON_0012167;buccal fat pad
UBERON_0012282;mammary fat pad
UBERON_0012283;femoral fat pad
UBERON_0014394;uterine fat pad
UBERON_0010413;parametrial fat pad
UBERON_0015143;mesenteric fat pad
UBERON_0015454;pancreatic fat pad
UBERON_0015458;mediastinal fat pad
UBERON_0015477;axillary fat pad
UBERON_0018132;tail fat pad
UBERON_0004180;mammary gland fat
UBERON_0005405;pararenal fat
UBERON_0005406;perirenal fat
UBERON_0007808;adipose tissue of abdominal region
UBERON_0014454;visceral abdominal adipose tissue
CL_0002462;adipose dendritic cell
CL_0002463;SIRPa-positive adipose dendritic cell
CL_0002464;SIRPa-negative adipose dendritic cell
CL_0002570;mesenchymal stem cell of adipose
CL_2000080;mesenchymal stem cell of abdominal adipose
UBERON_0000124;epineurium
UBERON_0000121;perineurium
UBERON_0011824;fibrous connective tissue
UBERON_0002015;kidney capsule
UBERON_0005137;metanephric capsule
UBERON_0006170;mesonephric capsule
UBERON_0018135;fibrocollagenous connective tissue
UBERON_0036186;fibroelastic connective tissue
UBERON_0011899;epimysium
UBERON_0011900;perimysium
UBERON_0015130;connective tissue of prostate gland
UBERON_0015131;subepithelial connective tissue of prostatic gland
UBERON_0002242;nucleus pulposus
UBERON_0002222;perichondrium
UBERON_0004755;skeletal tissue
UBERON_0002418;cartilage tissue
UBERON_0001995;fibrocartilage
UBERON_0006444;annulus fibrosus
UBERON_0004715;annulus fibrosus disci intervertebralis
UBERON_0006008;fibrous ring of heart
UBERON_0005995;mitral valve anulus
UBERON_0005991;aortic valve anulus
UBERON_0005993;pulmonary valve anulus
UBERON_0005997;tricuspid valve anulus
UBERON_0000398;cartilage tissue of sternum
UBERON_0006430;xiphoid cartilage
UBERON_0001823;nasal cartilage
UBERON_0003407;cartilage of nasal septum
UBERON_0006332;nasal capsule
UBERON_0007818;major alar cartilage
UBERON_0007819;minor alar cartilage
UBERON_0007820;accessory nasal cartilage
UBERON_0007821;lateral nasal cartilage
UBERON_0007822;vomeronasal cartilage
UBERON_0001994;hyaline cartilage tissue
UBERON_0002516;epiphyseal plate
UBERON_0016425;epiphyseal plate of radius
UBERON_0006326;base of arytenoid
UBERON_0010996;articular cartilage of joint
UBERON_0011589;non-mineralized cartilage tissue
UBERON_0001996;elastic cartilage tissue
UBERON_0001741;corniculate cartilage
UBERON_0006494;apex of arytenoid
UBERON_0011157;cuneiform cartilage
UBERON_0007389;paired limb/fin cartilage
UBERON_0007390;pectoral appendage cartilage tissue
UBERON_0007391;pelvic appendage cartilage tissue
UBERON_0000313;portion of cartilage tissue in tibia
UBERON_4000013;mineralized skeletal tissue
UBERON_0001752;enamel
UBERON_0001751;dentine
UBERON_0002481;bone tissue
UBERON_0008883;osteoid
CL_0007010;preosteoblast
UBERON_0002482;lamellar bone
UBERON_0001439;compact bone tissue
UBERON_0004109;cortex of humerus
UBERON_0005809;cortex of manus bone
UBERON_0016422;compact bone of long bone
UBERON_0016423;compact bone of diaphysis
UBERON_0002484;bone marrow cavity
UBERON_0016413;medullary cavity of long bone
UBERON_0014730;osteon
UBERON_0014731;haversian canal
UBERON_0002483;trabecular bone tissue
UBERON_0003482;vein of trabecular bone
UBERON_0008867;trabecular network of bone
UBERON_0010076;network of trabecular spaces in bone tissue
UBERON_0005808;bone tissue of long bone
UBERON_0004400;bone tissue of epiphysis
UBERON_0004401;bone tissue of distal epiphysis
UBERON_0004402;bone tissue of proximal epiphysis
UBERON_0006431;xiphoid process bone
UBERON_0007355;bony part of pharyngotympanic tube
CL_0000137;osteocyte
CL_0000141;cementocyte
CL_0001040;non-terminally differentiated osteoblast
UBERON_0010365;odontoid tissue
UBERON_0001753;cementum
UBERON_0011587;pre-dentine
UBERON_0011588;pre-enamel
UBERON_0002521;elastic tissue
UBERON_0003611;respiratory system elastic tissue
UBERON_0003615;lung elastic tissue
UBERON_0003616;bronchus elastic tissue
UBERON_0003617;trachea elastic tissue
UBERON_0003613;cardiovascular system elastic tissue
UBERON_0003610;heart elastic tissue
UBERON_0003614;blood vessel elastic tissue
UBERON_0003609;aorta elastic tissue
UBERON_0011392;blood vessel internal elastic membrane
UBERON_0015433;blood vessel external elastic membrane
UBERON_0003967;cutaneous elastic tissue
UBERON_0015764;dense regular elastic tissue
UBERON_0003566;head connective tissue
UBERON_0011349;pterygomandibular raphe
UBERON_0001798;vitreous body
UBERON_0001797;vitreous humor
UBERON_0003581;eyelid connective tissue
UBERON_0009648;eyelid subcutaneous connective tissue
UBERON_0004772;eyelid tarsus
UBERON_0004773;superior eyelid tarsus
UBERON_0010379;superior tarsal muscle
UBERON_0004774;inferior eyelid tarsus
UBERON_0015751;inferior tarsal muscle
UBERON_0001822;orbital septum
UBERON_0004724;medial palpebral ligament
UBERON_0003952;anterior stroma of cornea
UBERON_0003953;posterior stroma of cornea
UBERON_0011346;palatine raphe
UBERON_0011347;raphe of hard palate
UBERON_0011348;raphe of soft palate
UBERON_0003568;neck connective tissue
UBERON_0003570;respiratory system connective tissue
UBERON_0011345;pharyngeal raphe
UBERON_0003580;lower respiratory tract connective tissue
UBERON_0000114;lung connective tissue
UBERON_0003591;lobar bronchus connective tissue
UBERON_0003571;trachea connective tissue
UBERON_0009644;trachea non-cartilage connective tissue
UBERON_0003592;bronchus connective tissue
UBERON_0003590;main bronchus connective tissue
UBERON_0003582;nasopharynx connective tissue
UBERON_0003583;larynx connective tissue
UBERON_0004777;respiratory system submucosa
UBERON_0001957;submucosa of bronchus
UBERON_0004949;submucosa of main bronchus
UBERON_0004947;submucosa of right main bronchus
UBERON_0004948;submucosa of left main bronchus
UBERON_0004950;submucosa of lobar bronchus
UBERON_0004951;submucosa of segmental bronchus
UBERON_0004952;submucosa of bronchiole
UBERON_0002202;submucosa of trachea
UBERON_0005203;trachea gland
UBERON_0004778;larynx submucosa
UBERON_0005204;larynx submucosa gland
UBERON_0004924;submucosa of pharynx
UBERON_0004925;submucosa of laryngopharynx
UBERON_0004779;respiratory system lamina propria
UBERON_0000031;lamina propria of trachea
UBERON_0002338;lamina propria of bronchus
UBERON_0003576;hip connective tissue
UBERON_0003579;shoulder connective tissue
UBERON_0003584;mammary gland connective tissue
UBERON_0003585;dermis connective tissue
UBERON_0003586;trunk connective tissue
UBERON_0003837;thoracic segment connective tissue
UBERON_0004292;cardiac skeleton
UBERON_0003572;chest connective tissue
UBERON_0011897;cardiac endomysium
UBERON_0003838;abdominal segment connective tissue
UBERON_0003567;abdomen connective tissue
UBERON_0003594;pelvis connective tissue
UBERON_0003587;limb connective tissue
UBERON_0003588;forelimb connective tissue
UBERON_0003573;arm connective tissue
UBERON_0003574;elbow connective tissue
UBERON_0004268;lower arm connective tissue
UBERON_0004269;upper arm connective tissue
UBERON_0003598;manus connective tissue
UBERON_0003575;wrist connective tissue
UBERON_0003597;manual digit connective tissue
UBERON_0003589;hindlimb connective tissue
UBERON_0003569;leg connective tissue
UBERON_0003577;knee connective tissue
UBERON_0004266;upper leg connective tissue
UBERON_0004270;lower leg connective tissue
UBERON_0003595;pes connective tissue
UBERON_0003578;pedal digit connective tissue
UBERON_0003596;ankle connective tissue
UBERON_0015791;digit connective tissue
UBERON_0003593;thoracic cavity connective tissue
UBERON_0003599;tail connective tissue
UBERON_0004267;back connective tissue
UBERON_0004857;skeletal muscle connective tissue
UBERON_0007845;regular connective tissue
UBERON_0011821;irregular connective tissue
UBERON_0011825;loose connective tissue
UBERON_0035438;mucoid tissue
UBERON_0006804;reticular tissue
UBERON_0000123;endoneurium
UBERON_0011893;endoneurial fluid
UBERON_0011895;endomysium
UBERON_0011896;smooth muscle endomysium
UBERON_0011898;skeletal muscle endomysium
UBERON_0000363;reticuloendothelial system
UBERON_0014779;liver reticuloendothelial system
UBERON_0001754;dental pulp
UBERON_0015837;incisor dental pulp
UBERON_0015838;molar dental pulp
UBERON_0006815;areolar connective tissue
CL_1000303;fibroblast of areolar connective tissue
CL_0002320;connective tissue cell
CL_0000057;fibroblast
CL_0002620;skin fibroblast
CL_2000013;fibroblast of skin of abdomen
CL_0002551;fibroblast of dermis
CL_1000302;fibroblast of papillary layer of dermis
CL_2000042;embryonic fibroblast
CL_2000051;splenic fibroblast
CL_1000489;reticular cell of splenic cord
CL_2000063;ovarian fibroblast
CL_2000068;pericardium fibroblast
CL_2000069;gallbladder fibroblast
CL_2000070;optic choroid fibroblast
CL_0002553;fibroblast of lung
CL_2000093;bronchus fibroblast of lung
CL_0000432;reticular cell
CL_0002334;preadipocyte
CL_0002335;brown preadipocyte
CL_0002578;mesenteric preadipocyte
CL_0002580;preadipocyte of the breast
CL_0002583;subcutaneous preadipocyte
CL_0000632;hepatic stellate cell
CL_0002240;marrow fibroblast
CL_0002241;pulmonary interstitial fibroblast
CL_0000005;fibroblast neural crest derived
CL_0002363;keratocyte
CL_1000306;fibroblast of tunica adventitia of artery
CL_0002547;fibroblast of the aortic adventitia
CL_0002548;fibroblast of cardiac tissue
CL_2000066;cardiac ventricle fibroblast
CL_2000067;cardiac atrium fibroblast
CL_0002549;fibroblast of choroid plexus
CL_0002550;fibroblast of the conjunctiva
CL_0002554;fibroblast of lymphatic vessel
CL_0002555;fibroblast of mammary gland
CL_0002557;fibroblast of pulmonary artery
CL_1000299;fibroblast of connective tissue of prostate
CL_1000300;fibroblast of outer membrane of prostatic capsule
CL_1000301;fibroblast of subepithelial connective tissue of prostatic gland
CL_1000304;fibroblast of connective tissue of nonglandular part of prostate
CL_1000305;fibroblast of connective tissue of glandular part of prostate
CL_1001609;muscle fibroblast
CL_0000669;pericyte cell
CL_2000078;placental pericyte
CL_0000650;mesangial cell
CL_0002575;central nervous system pericyte
CL_2000043;brain pericyte
CL_1001318;renal interstitial pericyte
CL_0000062;osteoblast
CL_2000058;calvarial osteoblast
CL_0000061;cementoblast
CL_0000134;mesenchymal stem cell
CL_2000061;placental amniotic mesenchymal stromal cell
CL_0000566;angioblastic mesenchymal cell
CL_0002540;mesenchymal stem cell of the bone marrow
CL_0002541;chorionic membrane mesenchymal stem cell
CL_0002571;hepatic mesenchymal stem cell
CL_0000058;chondroblast
CL_0000499;stromal cell
CL_0000135;fibrocyte
CL_0000142;hyalocyte
CL_0000503;theca cell
CL_0002132;stromal cell of ovary
CL_0000175;luteal cell
CL_0000590;small luteal cell
CL_0000592;large luteal cell
CL_0002094;interstitial cell of ovary
CL_0002095;hilus cell of ovary
CL_0002133;stromal cell of ovarian cortex
CL_0002134;stromal cell of ovarian medulla
CL_0002574;stromal cell of pancreas
CL_0002622;prostate stromal cell
CL_0000327;extracellular matrix secreting cell
CL_0000153;glycosaminoglycan secreting cell
CL_0000138;chondrocyte
CL_0000667;collagen secreting cell
CL_0010001;stromal cell of bone marrow
CL_0000136;fat cell
CL_0002333;neural crest derived fat cell
CL_0002617;adipocyte of breast
CL_1000309;epicardial adipocyte
CL_1000310;adipocyte of epicardial fat of right ventricle
CL_1000311;adipocyte of epicardial fat of left ventricle
CL_0000484;connective tissue type mast cell
CL_0002503;adventitial cell
UBERON_0014716;interlobular duct
UBERON_0001282;intralobular bile duct
UBERON_0035053;interlobular duct of salivary gland
UBERON_0035078;parotid gland interlobular duct
UBERON_0014720;interlobar duct
UBERON_0003714;neural tissue
UBERON_0001810;nerve plexus
UBERON_0001816;autonomic nerve plexus
